citation,citation_id,citation_text
"[46] SPENGLER S., GARCIA M. O.:    GEOCHEMISTRY OF THE HAWI LAVAS, KOHALA VOLCANO, HAWAII    CONTRIB. MINERAL. PETROL. 99   [1988]  90-104    doi: 10.1007/BF00399369",[46],"SPENGLER S., GARCIA M. O.:    GEOCHEMISTRY OF THE HAWI LAVAS, KOHALA VOLCANO, HAWAII    CONTRIB. MINERAL. PETROL. 99   [1988]  90-104    doi: 10.1007/BF00399369"
"[457] HAURI E. H., SHIMIZU N., DIEU J. J., HART S. R.:    EVIDENCE FOR HOTSPOT-RELATED CARBONATITE METASOMATISM IN THE OCEANIC UPPER MANTLE    NATURE 365   [1993]  221-227    doi: 10.1038/365221a0",[457],"HAURI E. H., SHIMIZU N., DIEU J. J., HART S. R.:    EVIDENCE FOR HOTSPOT-RELATED CARBONATITE METASOMATISM IN THE OCEANIC UPPER MANTLE    NATURE 365   [1993]  221-227    doi: 10.1038/365221a0"
"[693] HAMILTON E. I.:    THE ABUNDANCE AND DISTRIBUTION OF URANIUM IN SOME OCEANIC, CONTINENTAL ULTRAMAFIC INCLUSIONS AND HOST BASALTS    CHEM. GEOL. 16   [1975]  221-231    doi: 10.1016/0009-2541(75)90030-3",[693],"HAMILTON E. I.:    THE ABUNDANCE AND DISTRIBUTION OF URANIUM IN SOME OCEANIC, CONTINENTAL ULTRAMAFIC INCLUSIONS AND HOST BASALTS    CHEM. GEOL. 16   [1975]  221-231    doi: 10.1016/0009-2541(75)90030-3"
"[743] FRIKH-KHAR D. I., ASHIKHMINA N. A., MURAVITSKAYA G. N., SEVOSTYANOV M. A.:    ACCESSORY MINERALS OF EFFUSIVE CARBONATITES AND PHONOLITES OF CAPE VERDE ISLANDS    DOKL. ACAD. SCI. USSR, EARTH SCI. SECT. 303   [1988]  1455-1459",[743],"FRIKH-KHAR D. I., ASHIKHMINA N. A., MURAVITSKAYA G. N., SEVOSTYANOV M. A.:    ACCESSORY MINERALS OF EFFUSIVE CARBONATITES AND PHONOLITES OF CAPE VERDE ISLANDS    DOKL. ACAD. SCI. USSR, EARTH SCI. SECT. 303   [1988]  1455-1459"
"[904] AHIJADO A., HERNANDEZ-PACHECO A.:    THE ULTRAMAFIC ALKALINE ROCKS OF JABLE DE LA SALINAS, FUERTEVENTURA, CANARY ISLANDS    REV. SOC. GEOL. ESPANA 3   [1990]  275-287",[904],"AHIJADO A., HERNANDEZ-PACHECO A.:    THE ULTRAMAFIC ALKALINE ROCKS OF JABLE DE LA SALINAS, FUERTEVENTURA, CANARY ISLANDS    REV. SOC. GEOL. ESPANA 3   [1990]  275-287"
"[932] FERGUSON A. K.:    THE OCCURRENCE OF RAMSAYITE, TITAN-LAVENITE AND A FLUORINE-RICH EUCOLITE IN A NEPHELINE-SYENITE INCLUSION FROM TENERIFE, CANARY ISLANDS    CONTRIB. MINERAL. PETROL. 66   [1978]  15-20    doi: 10.1007/BF00376081",[932],"FERGUSON A. K.:    THE OCCURRENCE OF RAMSAYITE, TITAN-LAVENITE AND A FLUORINE-RICH EUCOLITE IN A NEPHELINE-SYENITE INCLUSION FROM TENERIFE, CANARY ISLANDS    CONTRIB. MINERAL. PETROL. 66   [1978]  15-20    doi: 10.1007/BF00376081"
"[1112] MACDONALD R., MCGARVIE D. W., PINKERTON H., SMITH R. L., PALACZ Z. A.:    PETROGENETIC EVOLUTION OF THE TORFAJOEKULL VOLCANIC COMPLEX, ICELAND: 1. RELATIONSHIP BETWEEN THE MAGMA TYPES    J. PETROL. 31   [1990]  429-459    doi: 10.1093/petrology/31.2.429",[1112],"MACDONALD R., MCGARVIE D. W., PINKERTON H., SMITH R. L., PALACZ Z. A.:    PETROGENETIC EVOLUTION OF THE TORFAJOEKULL VOLCANIC COMPLEX, ICELAND: 1. RELATIONSHIP BETWEEN THE MAGMA TYPES    J. PETROL. 31   [1990]  429-459    doi: 10.1093/petrology/31.2.429"
"[1321] IMSLAND P.:    PETROLOGY, MINERALOGY AND EVOLUTION OF THE JAN MAYEN MAGMA SYSTEM    VISINDAFELAG ISLENDINGA 43   [1984]  1-328",[1321],"IMSLAND P.:    PETROLOGY, MINERALOGY AND EVOLUTION OF THE JAN MAYEN MAGMA SYSTEM    VISINDAFELAG ISLENDINGA 43   [1984]  1-328"
"[1343] BAXTER A. N., UPTON B. G. J., WHITE W. M.:    PETROLOGY AND GEOCHEMISTRY OF RODRIGUES ISLAND, INDIAN OCEAN    CONTRIB. MINERAL. PETROL. 89   [1985]  90-101    doi: 10.1007/BF01177594",[1343],"BAXTER A. N., UPTON B. G. J., WHITE W. M.:    PETROLOGY AND GEOCHEMISTRY OF RODRIGUES ISLAND, INDIAN OCEAN    CONTRIB. MINERAL. PETROL. 89   [1985]  90-101    doi: 10.1007/BF01177594"
[1346] TAYLOR H. P. JR.:    THE OXYGEN ISOTOPE GEOCHEMISTRY OF IGNEOUS ROCKS    CONTRIB. MINERAL. PETROL. 19   [1968]  1-71    doi: 10.1007/BF00371729,[1346],TAYLOR H. P. JR.:    THE OXYGEN ISOTOPE GEOCHEMISTRY OF IGNEOUS ROCKS    CONTRIB. MINERAL. PETROL. 19   [1968]  1-71    doi: 10.1007/BF00371729
