,entity_id,Mineral,method,SiO2,TiO2,Al2O3,Cr2O3,FeOt,MnO,MgO,NiO,CoO,CaO,Na2O,K2O,P2O5,NN_Labels,NN_Labels_Test
0,31233,Amphibole,EMP,47.24000168,1.580000043,11.73999977,0.0,14.05000019,0.25,11.10999966,,,10.11999989,1.690000057,0.819999993,,Amphibole,Amphibole
1,31234,Amphibole,EMP,50.11000061,1.710000038,9.420000076,0.0,15.25,0.230000004,11.64999962,,,9.840000153,1.419999957,0.810000002,,Amphibole,Amphibole
2,31235,Amphibole,EMP,47.81000137,1.559999943,11.18999958,0.0,14.25,0.270000011,12.30000019,,,10.03999996,1.639999986,0.769999981,,Amphibole,Amphibole
3,31236,Amphibole,EMP,45.40999985,1.370000005,10.97000027,0.0,16.77000046,0.319999993,11.60000038,,,10.14000034,1.610000014,0.569999993,,Amphibole,Amphibole
4,31237,Amphibole,EMP,47.97000122,1.730000019,8.359999657,0.0,17.62999916,0.270000011,12.10000038,,,9.43999958,1.289999962,0.589999974,,Amphibole,Amphibole
5,31238,Amphibole,EMP,45.43000031,1.899999976,11.42000008,0.0,13.59000015,0.230000004,12.64000034,,,10.97000027,1.809999943,0.709999979,,Amphibole,Amphibole
6,31239,Amphibole,EMP,45.75999832,1.559999943,12.22999954,0.0,16.75,0.330000013,10.60999966,,,10.42000008,1.610000014,0.74000001,,Amphibole,Amphibole
7,31240,Amphibole,EMP,53.68000031,0.980000019,10.77000046,0.0,13.81000042,0.280000001,9.649999619,,,8.199999809,1.370000005,0.709999979,,Amphibole,Amphibole
8,31241,Amphibole,EMP,45.20000076,1.929999948,11.02999973,0.0,14.72999954,0.25999999,12.89999962,,,10.67000008,1.710000038,1.029999971,,Amphibole,Amphibole
9,31242,Amphibole,EMP,45.27000046,1.450000048,10.42000008,0.0,8.840000153,0.170000002,16.51000023,,,11.89999962,1.720000029,1.169999957,,Amphibole,Amphibole
10,31243,Amphibole,EMP,46.66999817,1.580000043,10.40999985,0.0,9.920000076,0.25,16.07999992,,,10.98999977,1.74000001,1.090000033,,Amphibole,Amphibole
