,Sample Name,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,Mineral
0,Z2099,42.96,1.8,14.33,4.07,0.07,17.39,12.03,3.1,0.03,,0.65,Amphibole
3172,SG-09-32_12,0.17,,,0.7,,0.13,54.32,,,40.97,,Apatite
4907,IgnA_2,36.9,2.31,16.4,8.2,0.08,20.6,0.03,0.71,8.79,,0.09,Biotite
8137,REG55_calcite_1,0,0,0,0.07,0.0457,0.0526,57.0312,0.0046,0.0216,,0.1757,Calcite
9148,zk803-31-01-01,29.41,0.03,18.6,33.22,0.08,6.7,0.1,0.03,0.26,,,Chlorite
10473,17MMSG37_cpx4_1,46.8911,2.8722,6.5948,8.4685,0.1886,13.884,20.2569,0.3403,,,0.0908,Clinopyroxene
21383,CL09MB009 C2 ep 20,37.38,0.01,21.29,15.35070503,0.29,0.06,23.19,0,0,,,Epidote
22647,Lw-Ec_GR1_core,38.52,0.04,21.84,27.06999773,1.49,5.58,5.82,0.03,0,,0,Garnet
24650,LS-13_C1_Hem-1 _1,0.396,0.026,0.218,86.99067039,,0.016,0.096,,0.003,0.145,,Hematite
25650,UC1250,0.0424,49.1927,0.0757,43.94518373,1.6045,2.8229,0.0139,,,,0.0148,Ilmenite
27666,REG-18_kalsilite_1,37.02,0,31.43,0.35,0,0,0,0.04,29.61,,0.0069,Kalsilite
28666,DG-44,65.0797,,18.8768,0,,,0.0664,2.4138,13.194,,,KFeldspar
34677,VS219_129 / 1 . _Leu,54.7008,0.113,23.0378,0.5208,0.0064,0.0493,,0.0205,21.7093,,,Leucite
36205,UC1080,0.16,16.572,0.941,74.515,0.565,0.851,0.037,,,,0.012,Magnetite
39803,S80_7 / 2 . ,41.0155,0.0521,5.6907,5.2198,0.131,6.6045,28.6936,3.7814,0.1842,,,Melilite
40939,WS5_37,44.8,0.24,35.12,0.269,0.04,3.22,0.16,0.15,10.57,,0,Muscovite
42090,10_N_1 ,42.033,,32.705,0,,,0.105,15.507,7.859,,,Nepheline
43110,CN_C_Ol1,39.84604,2.00E-05,0.01915,17.39875,0.243865,43.12669,0.21963,0.01495,0.007775,0.013685,,Olivine
65125,L04_N1_1,56.08,0.2769,1.868,7.21,0.1732,34.17,0.517,,,,0.4681,Orthopyroxene
70895,K8_plag1_rtoc,46.6657,0.0297,32.4782,0.5769,0.0013,0.2178,16.8384,1.7939,0.0031,,,Plagioclase
89207,OM08-206A_2,99.7,0,0,0.3,0.03,0,0,0.01,0.02,,0,Quartz
90207,E2718C_1_,0.0091,98.4337,0.0236,0.2144,0.0089,,,,,,0.1976,Rutile
91925,OM15-6,41.25742,,1.34979,4.38996,,39.54539,,,,,0.26425,Serpentine
94513,HOR-11-01BY_SP503,0.0554,0.7736,22.1179,23.52258032,,12.9254,0.0466,,,,39.0881,Spinel
96256,REG-19_titanite_1,29.3211,33.0262,1.3941,2.90473341,0.0339,0.076,26.5311,0.1435,0.0327,,0,Titanite
104307,Tourmaline1,36.47,0.82,30.79,4.13,,9.52,0.74,2.36,,,,Tourmaline
105329,Zrn-I,32.816,0.005,0,0.007,,,0,0.008,,0.027,,Zircon
106329,20B-04,49.96,1.59,13.73,11.8,0.21,7.27,11.88,2.27,0.25,0.18,,Glass
