Citation,Volcano,SampleID,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,NiO,Mineral,Host
"Kelley, K.A. and Cottrell, E., 2012. The influence of magmatic differentiation on the oxidation state of Fe in a basaltic arc magma. Earth and Planetary Science Letters, 329, pp.109-121.",AGRIGAN,AGR19-02_1,46.73,0.77,16.79,10.3,0.2,5.19,12.3,1.79,0.43,0.13,,,Glass,Olivine
"Kelley, K.A. and Cottrell, E., 2012. The influence of magmatic differentiation on the oxidation state of Fe in a basaltic arc magma. Earth and Planetary Science Letters, 329, pp.109-121.",AGRIGAN,AGR19-02_2,46.68,0.73,17.86,8.58,0.21,4.73,13.28,1.91,0.4,0.15,,,Glass,Olivine
"Kelley, K.A. and Cottrell, E., 2012. The influence of magmatic differentiation on the oxidation state of Fe in a basaltic arc magma. Earth and Planetary Science Letters, 329, pp.109-121.",AGRIGAN,AGR19-02_3,53.47,0.97,16.23,9.29,0.17,3.22,8.36,3.31,1.36,0.32,,,Glass,Olivine
"Kelley, K.A. and Cottrell, E., 2012. The influence of magmatic differentiation on the oxidation state of Fe in a basaltic arc magma. Earth and Planetary Science Letters, 329, pp.109-121.",AGRIGAN,AGR19-02_4,47,0.66,17.68,9.5,0.26,4.59,12.79,1.96,0.38,0.11,,,Glass,Olivine
"Kelley, K.A. and Cottrell, E., 2012. The influence of magmatic differentiation on the oxidation state of Fe in a basaltic arc magma. Earth and Planetary Science Letters, 329, pp.109-121.",AGRIGAN,AGR19-02_5,48.41,0.83,16.24,9.87,0.27,4.22,11.65,2.21,0.51,0.13,,,Glass,Olivine
"Kelley, K.A. and Cottrell, E., 2012. The influence of magmatic differentiation on the oxidation state of Fe in a basaltic arc magma. Earth and Planetary Science Letters, 329, pp.109-121.",AGRIGAN,AGR19-02_7,47.19,0.85,18.71,9.33,0.17,4.34,12.66,2.31,0.54,0.17,,,Glass,Olivine
"Kelley, K.A. and Cottrell, E., 2012. The influence of magmatic differentiation on the oxidation state of Fe in a basaltic arc magma. Earth and Planetary Science Letters, 329, pp.109-121.",AGRIGAN,AGR19-02_8,47.92,0.77,16.52,9.83,0.2,5.27,12.24,1.93,0.46,0.15,,,Glass,Olivine
"Kelley, K.A. and Cottrell, E., 2012. The influence of magmatic differentiation on the oxidation state of Fe in a basaltic arc magma. Earth and Planetary Science Letters, 329, pp.109-121.",AGRIGAN,AGR19-02_9,48.41,0.89,16.99,10.12,0.23,3.47,11.9,2.34,0.62,0.16,,,Glass,Olivine
"Kelley, K.A. and Cottrell, E., 2012. The influence of magmatic differentiation on the oxidation state of Fe in a basaltic arc magma. Earth and Planetary Science Letters, 329, pp.109-121.",AGRIGAN,AGR19-02_10,46.13,0.74,18.09,8.99,0.15,4.59,12.64,1.77,0.37,0.14,,,Glass,Olivine
"Kelley, K.A. and Cottrell, E., 2012. The influence of magmatic differentiation on the oxidation state of Fe in a basaltic arc magma. Earth and Planetary Science Letters, 329, pp.109-121.",AGRIGAN,AGR19-02_11,46.92,0.77,17.93,9.1,0.21,4.62,12.42,2,0.43,0.12,,,Glass,Olivine
