Citation,Volcano,Sample ID,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,NiO,Mineral
"Rowe, M.C., Lassiter, J.C. and Goff, K., 2015. Basalt volatile fluctuations during continental rifting: An example from the Rio Grande Rift, USA. Geochemistry, Geophysics, Geosystems, 16(5), pp.1254-1273.",,RC07-3_RC-3-5-1-1,46.33,2.05,18.0,6.41,0.09,8.78,12.46,3.51,0.86,0.47,,,Glass
"Robidoux, P., Rotolo, S.G., Aiuppa, A., Lanzo, G. and Hauri, E.H., 2017. Geochemistry and volatile content of magmas feeding explosive eruptions at Telica volcano (Nicaragua). Journal of Volcanology and Geothermal Research, 341, pp.131-148.",TELICA,TEL04K_10A,56.75,0.85,13.99,8.37,0.21,2.05,5.06,3.29,3.07,0.38,0.01,0.03,Glass
"Cooper, L.B. (2009) Volatiles in Tonga arc magmas and their role in unraveling subduction zone processes. Ph.D. Dissertation, Boston University and Caulfield, J. T., Turner, S. P., Smith, I. E. M., Cooper, L. B. & Jenner, G. A. (2012). Magma evolution in the primitive, intra-oceanic Tonga Arc: petrogenesis of basaltic andesites at Tofua volcano. Journal of Petrology 53, 1197–1230.",TOFUA,06TF70_cpx2_mia ,58.19,0.72,14.62,9.25,0.1,4.26,9.25,1.99,0.56,0.16,,,Glass
"Tolstykh, M.L., Pevzner, M.M., Naumov, V.B., Babanskii, A.D. and Kononkova, N.N., 2015. Types of parental melts of pyroclastic rocks of various structural–age complexes of the Shiveluch volcanic massif, Kamchatka: Evidence from inclusions in minerals. Petrology, 23(5), pp.480-517.",SHIVELUCH,97057/7_40,63.25,0.97,16.24,4.59,0.09,1.56,3.23,4.73,2.49,1.0,,,Glass
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",PAGAN,PB64_PB64M-1,45.67,0.95,17.94,10.16,0.16,6.48,11.92,2.78,0.68,0.1,,,Glass
"Ruth, Dawn C. S. , Elizabeth Cottrell, Joaquín A. Cortés, Katherine A. Kelley, Eliza S. Calder; From Passive Degassing to Violent Strombolian Eruption: the Case of the 2008 Eruption of Llaima Volcano, Chile, Journal of Petrology, Volume 57, Issue 9, 1 September 2016, Pages 1833–1864, https://doi.org/10.1093/petrology/egw063",LLAIMA,Plate3-1-2010_Plate3-1-2010,54.05,1.69,13.53,10.78,0.2,4.43,7.42,2.89,1.06,0.35,,,Glass
"Barnes, J.D. and Straub, S.M., 2010. Chorine stable isotope variations in Izu Bonin tephra: implications for serpentinite subduction. Chemical Geology, 272(1-4), pp.62-74.",,782A-42X-CC-27-29_118,65.03,0.63,15.3,3.56,0.06,1.3,4.42,4.2,1.33,0.04,,,Glass
"Rowe, M.C., Kent, A.J. and Nielsen, R.L., 2009. Subduction influence on oxygen fugacity and trace and volatile elements in basalts across the Cascade Volcanic Arc. Journal of Petrology, 50(1), pp.61-91.",,KWB03-1_03-067-17.1,50.78,1.46,17.27,8.21,0.11,8.58,8.88,3.33,0.63,0.73,,,Glass
"Rowe, M.C., Lassiter, J.C. and Goff, K., 2015. Basalt volatile fluctuations during continental rifting: An example from the Rio Grande Rift, USA. Geochemistry, Geophysics, Geosystems, 16(5), pp.1254-1273.",,EB 06-1_Un  214  EB-1-10-2-1,42.46,2.47,16.4,9.92,0.1,11.35,8.2,2.82,2.34,0.75,,,Glass
"Ruth, Dawn C. S. , Elizabeth Cottrell, Joaquín A. Cortés, Katherine A. Kelley, Eliza S. Calder; From Passive Degassing to Violent Strombolian Eruption: the Case of the 2008 Eruption of Llaima Volcano, Chile, Journal of Petrology, Volume 57, Issue 9, 1 September 2016, Pages 1833–1864, https://doi.org/10.1093/petrology/egw063",LLAIMA,bk4-2-1-2012_bk4-2-1-2012,52.06,0.84,16.71,9.49,0.17,5.12,9.07,3.65,0.44,0.14,,,Glass
"Rowe, M.C., Kent, A.J. and Nielsen, R.L., 2009. Subduction influence on oxygen fugacity and trace and volatile elements in basalts across the Cascade Volcanic Arc. Journal of Petrology, 50(1), pp.61-91.",,CM02-2_03-013b-9.1,47.91,1.37,17.61,5.78,0.08,7.96,11.67,3.37,1.9,0.48,,,Glass
"Rowe, M.C. and Lassiter, J.C., 2009. Chlorine enrichment in central Rio Grande Rift basaltic melt inclusions: Evidence for subduction modification of the lithospheric mantle. Geology, 37(5), pp.439-442.",,_EB-1-9-5-1,41.86,2.84,15.5,9.26,0.08,11.26,11.65,4.0,2.12,0.82,,,Glass
"Rowe, Michael C. , David W. Peate, Ingrid Ukstins Peate; An Investigation into the Nature of the Magmatic Plumbing System at Paricutin Volcano, Mexico, Journal of Petrology, Volume 52, Issue 11, 1 November 2011, Pages 2187–2220, https://doi.org/10.1093/petrology/egr044",PARICUTIN,51-W-18 (116293-7)_7-1-3,52.63,1.28,20.38,7.88,0.1,5.46,7.2,3.94,1.24,0.38,,,Glass
Blundyetal2006,MT.ST.HELENS,SH80D_SH80D-2B,75.27,0.51,11.51,2.05,0.01,0.24,0.82,5.36,3.39,,,,Glass
"Rowe, M.C., Lassiter, J.C. and Goff, K., 2015. Basalt volatile fluctuations during continental rifting: An example from the Rio Grande Rift, USA. Geochemistry, Geophysics, Geosystems, 16(5), pp.1254-1273.",,RC07-5_RC-5-1-2-1,48.35,1.6,18.14,8.52,0.11,8.82,10.33,3.42,0.62,0.34,,,Glass
Hartleyetal2014,LAKI,MHL-18_32_1,50.6895,2.9883,14.5194,11.1207,0.0652,4.9339,11.7677,2.8772,0.4523,0.3338,0.0007,,Glass
"Rowe, M.C., Lassiter, J.C. and Goff, K., 2015. Basalt volatile fluctuations during continental rifting: An example from the Rio Grande Rift, USA. Geochemistry, Geophysics, Geosystems, 16(5), pp.1254-1273.",,SEC09-1_SEC-1-4-6-1,48.16,1.67,17.68,8.33,0.09,8.28,10.18,3.02,1.19,0.54,,,Glass
"Rowe, M.C., Lassiter, J.C. and Goff, K., 2015. Basalt volatile fluctuations during continental rifting: An example from the Rio Grande Rift, USA. Geochemistry, Geophysics, Geosystems, 16(5), pp.1254-1273.",,EB06-2_EB-2-2-1,43.86,1.35,17.41,10.52,0.16,7.45,9.65,4.56,0.7,0.4,,,Glass
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,Mt. Spagnolo_Spa-U2,49.5,2.5,18.1,5.72,0.06,1.24,7.95,6.84,3.13,0.72,,,Glass
"Schiavi, F., Kobayashi, K., Nakamura, E., Tiepolo, M. and Vannucci, R., 2012. Trace element and Pb–B–Li isotope systematics of olivine-hosted melt inclusions: insights into source metasomatism beneath Stromboli (southern Italy). Contributions to Mineralogy and Petrology, 163(6), pp.1011-1031.",STROMBOLI,ST531_MI4A,46.62,0.84,14.43,6.53,0.16,5.34,14.87,2.24,1.75,,,,Glass
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-331A_8LM-331A_A18b,52.7,1.25,16.02,10.59,0.2,4.95,9.89,3.22,0.72,,,,Glass
"Schiavi, F., Rosciglione, A., Kitagawa, H., Kobayashi, K., Nakamura, E., Nuccio, P.M., Ottolini, L., Paonita, A. and Vannucci, R., 2015. Geochemical heterogeneities in magma beneath Mount Etna recorded by 2001–2006 melt inclusions. Geochemistry, Geophysics, Geosystems, 16(7), pp.2109-2126.",ETNA,2001 LOWER VENT_CPX8 MIC,50.4,1.98,15.94,7.41,0.17,4.19,8.59,3.85,1.61,0.62,,,Glass
"Robidoux, P., Rotolo, S.G., Aiuppa, A., Lanzo, G. and Hauri, E.H., 2017. Geochemistry and volatile content of magmas feeding explosive eruptions at Telica volcano (Nicaragua). Journal of Volcanology and Geothermal Research, 341, pp.131-148.",TELICA,TEL04K_22B,56.74,0.7,14.1,8.72,0.21,3.25,5.77,3.09,2.17,0.26,0.02,0.05,Glass
