Sample Name,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,Mineral,Na2O + K2O,TAS,Rocknames
20B-04,49.96,1.59,13.73,11.8,0.21,7.27,11.88,2.27,0.25,0.18,,Glass,2.52,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-04,49.58,1.63,14.16,11.54,0.21,7.14,11.85,2.25,0.29,0.16,,Glass,2.54,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-04,49.68,1.65,14.12,11.98,0.19,7.3,11.91,2.27,0.31,0.17,,Glass,2.58,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-04,49.76,1.57,13.83,11.68,0.22,7.11,11.91,2.21,0.26,0.19,,Glass,2.4699999999999998,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-04,49.17,1.54,13.73,11.96,0.22,7.12,11.88,2.31,0.25,0.17,,Glass,2.56,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-04,50.31,1.56,13.9,11.99,0.2,7.17,11.64,2.37,0.28,0.17,,Glass,2.6500000000000004,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-04,49.51,1.62,13.74,12.02,0.21,7.17,11.64,2.25,0.3,0.17,,Glass,2.55,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-04,49.37,1.53,13.9,11.78,0.21,7.11,11.72,2.27,0.27,0.15,,Glass,2.54,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-04,49.61,1.63,13.89,12.13,0.19,7.1,11.76,2.35,0.27,0.17,,Glass,2.62,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-06,49.64,1.58,13.63,11.85,0.2,7.18,11.7,2.21,0.29,0.15,,Glass,2.5,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-06,49.23,1.6,13.82,12.15,0.21,7.27,12.11,2.28,0.35,0.15,,Glass,2.63,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-06,49.56,1.66,13.29,12.06,0.2,6.95,11.77,2.27,0.34,0.16,,Glass,2.61,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-06,49.14,1.69,13.83,12.09,0.2,7.13,11.76,2.24,0.28,0.16,,Glass,2.5200000000000005,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-06,49.5,1.58,13.53,12.28,0.2,7.01,11.94,2.21,0.27,0.16,,Glass,2.48,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-06,48.99,1.56,13.85,12.15,0.21,7.03,11.67,2.43,0.28,0.18,,Glass,2.71,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-06,49.12,1.63,13.67,12.1,0.2,7.04,11.76,2.29,0.28,0.18,,Glass,2.5700000000000003,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
