,Sample Name,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,Mineral
43110,CN_C_Ol1,39.84604,2e-05,0.01915,17.39875,0.243865,43.12669,0.21963,0.01495,0.007775,0.013685,,Olivine
43111,CN_C_Ol1',39.78784,0.01027,0.026165,17.446295,0.324905,43.227635,0.18819,0.015305,0.006115,0.017815,,Olivine
43112,CN_C_Ol2,38.896455,0.014615,0.0056549999999999,21.791545,0.34931,39.47292,0.204635,0.004635,0.006005,0.013985,,Olivine
43113,CN_C_Ol3,39.451170000000005,2e-05,0.028775,19.52882,0.298085,41.42913,0.231755,1e-05,0.001825,0.019815,,Olivine
43114,CN_C_Ol3_MI2,39.680195,0.00694,0.019405,18.50234,0.30384,42.207404999999994,0.22619,0.01897,1e-05,2e-05,,Olivine
43115,CN_C_Ol4,39.64716,0.0147599999999999,0.01985,17.764635,0.2599249999999999,42.984245,0.1833,1e-05,0.004685,0.01358,,Olivine
43116,CN_C_Ol5,39.988815,2e-05,0.03462,17.185355,0.2512,42.87402,0.1942499999999999,0.0097,0.0111449999999999,0.02479,,Olivine
43117,CN_C_Ol5_MI2,39.535325,0.02045,0.0348399999999999,17.401795,0.2901249999999999,42.78953,0.20666,0.0048249999999999,0.0028799999999999,0.0062749999999999,,Olivine
43118,CN_C_Ol6,38.917725,0.01532,0.008055,19.88742,0.32381,41.78003,0.183875,0.016205,0.00591,0.02191,,Olivine
43119,CN_C_Ol7,39.17938,0.007025,0.011845,21.76098,0.3734349999999999,39.08063,0.20042,1e-05,0.007245,2e-05,,Olivine
43120,CN_C_Ol8,38.313590000000005,0.0110949999999999,0.03061,25.721525,0.44681,36.478995,0.197275,0.00801,0.00135,2e-05,,Olivine
43121,CN_C_Ol8_MI2,37.8207,0.042085,0.0149699999999999,25.85867,0.44267,36.927195,0.191475,0.020645,0.00343,0.00928,,Olivine
43122,CN_C_Ol9,39.30325,0.01936,0.010875,19.988395,0.306125,41.12312,0.17191,0.016255,0.002275,0.00996,,Olivine
43123,CN_C_Ol11,38.527405,2e-05,0.013145,22.67947,0.3656,38.773625,0.19724,0.01621,0.0042499999999999,0.015175,,Olivine
43124,CN_C_Ol11',38.34638,0.040525,0.003915,24.156775,0.388605,37.782545,0.21171,1e-05,1e-05,0.0155649999999999,,Olivine
43125,CN_B_Ol1,38.38129,0.006285,0.029225,21.328245000000003,0.3587749999999999,40.55179,0.197395,0.012575,0.00632,0.02389,,Olivine
43126,CN_B_Ol3,39.276790000000005,0.002415,0.009195,19.96698,0.32946,41.559525,0.19657,0.006985,0.00805,2e-05,,Olivine
43127,CN_B_Ol3_MI2,38.66710500000001,0.019235,0.020735,20.299335,0.310665,40.168800000000005,0.185745,0.007845,1e-05,0.0187799999999999,,Olivine
43128,CN_B_Ol4,39.247645,0.046695,0.02915,19.633325,0.32761,41.49653,0.22258,0.013215,1e-05,0.014665,,Olivine
43129,CN_B_Ol4_MI2,39.40188,0.026075,0.03289,19.374995,0.31678,41.731390000000005,0.232555,0.008245,0.002565,0.015625,,Olivine
43130,CN_B_Ol6,37.994595,0.00703,0.02531,25.241505,0.4642699999999999,36.68229,0.24824,0.006155,0.0039299999999999,0.01354,,Olivine
43131,CN_B_Ol7,39.916565,0.050315,0.01168,18.063175,0.28976,42.875875,0.15885,0.016745,0.004695,0.017785,,Olivine
43132,CN92C_Ol6,39.236720000000005,0.0294,0.02934,18.556255,0.28088,42.003595,0.18413,,0.015745,0.0220199999999999,,Olivine
43133,CN92C_Ol9,39.17476,2e-05,0.001465,19.532825,0.3316599999999999,41.35198,0.17109,,1e-05,0.01685,,Olivine
43134,CN92C_Ol9_MI2,39.52052,0.0307549999999999,0.002905,18.93699,0.317875,41.403724999999994,0.205025,,0.00432,0.010575,,Olivine
43135,CN92C_Ol11,38.989999999999995,2e-05,0.054675,19.61084,0.31126,41.481485,0.196715,,0.00722,0.0053149999999999,,Olivine
43136,CN92C_Ol13,39.255495,0.0069799999999999,0.02597,18.97354,0.34451,41.916574999999995,0.202555,,0.00097,0.0063799999999999,,Olivine
43137,CN92C_Ol12,38.538415,0.0219299999999999,0.0258499999999999,23.166215,0.43627,38.29085,0.199465,,1e-05,0.00211,,Olivine
43138,CN92C_Ol16,39.252849999999995,2e-05,0.037745,17.77427,0.270595,42.717705,0.2009449999999999,,0.003855,0.00214,,Olivine
43139,CN92C_Ol18,39.565775,0.034025,0.0197999999999999,19.260255,0.256145,41.53633,0.19158,,0.004305,0.0052899999999999,,Olivine
43140,CN92C_Ol19,38.40503,0.022155,0.021235,23.382235,0.426195,38.384795,0.200045,,0.000485,0.0084599999999999,,Olivine
43141,CN92C_Ol22,38.653945,0.012835,0.02313,22.732065,0.373205,38.383585,0.19639,,0.005275,0.020065,,Olivine
43142,CN92C_Ol2,39.376895000000005,0.01065,0.02286,17.03103,0.228755,43.166515,0.21947,,0.0033699999999999,0.01701,,Olivine
43143,CN92C_Ol4,39.08538,0.04039,2e-05,18.22464,0.31582,42.36347,0.19277,,0.003855,0.00107,,Olivine
43144,CN92C_Ol8,39.39901,0.00146,0.02266,18.182515,0.29115,42.395084999999995,0.19229,,1e-05,0.01793,,Olivine
43145,CN92C_Emb2_MI,38.31493,0.0091925,0.0093975,21.6993925,0.3812625,38.43435,0.209315,,0.0040725,0.0052899999999999,,Olivine
43146,CN92C_Ol1,38.614835,0.0135699999999999,0.055625,17.996745,0.25315,41.76643,0.190125,,0.0052699999999999,0.01372,,Olivine
43147,CN92C_Ol2,39.089175,0.01431,0.003985,18.856835,0.270795,41.358140000000006,0.18247,,0.019235,0.036115,,Olivine
