,Sample Name,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,ZrO2,Mineral,Source
0,Z2099,42.96,1.8,14.33,4.07,0.07,17.39,12.03,3.1,0.03,,0.65,,Amphibole,Vannuccietal1995
1,Z2070,43.03,2.39,13.35,4.09,0.06,17.01,11.71,2.97,0.05,,0.74,,Amphibole,Vannuccietal1995
2,Z2073,42.95,3.02,14.12,4.35,0.06,17.53,12.02,3.04,0.07,,0.76,,Amphibole,Vannuccietal1995
3,Z2067,43.01,4.65,12.83,4.39,0.07,17.14,12.14,2.88,0.03,,0.84,,Amphibole,Vannuccietal1995
4,Z2068,42.13,4.87,12.15,4.08,0.05,16.42,11.89,2.75,0.02,,1.26,,Amphibole,Vannuccietal1995
5,ER-R3/3,41.9,5.12,12.42,4.03,0.06,15.79,12.15,3.38,0.15,,1.35,,Amphibole,Vannuccietal1995
6,BM5,44.2,1.88,13.16,4.06,0.07,16.82,12.25,3.57,0.63,,0.8,,Amphibole,Vannuccietal1995
7,PR2,42.97,2.28,14.07,4.19,0.02,17.25,11.94,3.68,0.0,,1.04,,Amphibole,Vannuccietal1995
8,PR4,43.18,2.06,13.15,3.89,0.06,18.0,12.54,3.38,0.02,,1.1,,Amphibole,Vannuccietal1995
9,Lh12,43.86,3.98,13.78,3.89,0.05,16.72,11.49,3.92,0.17,,0.8,,Amphibole,Vannuccietal1995
10,Fr1,43.3,2.81,13.29,4.14,0.07,16.73,11.57,3.42,0.17,,1.15,,Amphibole,Vannuccietal1995
11,BH81,42.1,2.85,15.5,4.18,0.09,17.3,10.6,3.72,0.18,,0.58,,Amphibole,Vannuccietal1995
12,Ka111,43.41,1.7,14.77,4.13,0.08,18.0,10.44,3.86,0.01,,1.05,,Amphibole,Vannuccietal1995
13,MM110,44.2,0.47,13.22,3.74,0.02,18.1,10.63,3.42,1.1,,2.34,,Amphibole,WittEickschenandONeill2005
14,MM766,44.28,0.52,14.68,3.73,0.01,17.92,11.2,3.08,1.21,,1.93,,Amphibole,WittEickschenandONeill2005
15,MM1266,43.75,0.27,15.03,4.15,0.04,17.74,11.26,3.06,1.1,,1.43,,Amphibole,WittEickschenandONeill2005
16,DW211,44.49,0.36,13.35,4.06,0.0,18.24,10.64,3.28,0.91,,2.03,,Amphibole,WittEickschenandONeill2005
17,Merap1-1Am2 ,42.266,4.045,11.016,12.404,0.421,13.14,10.982,2.743,0.953,,0.027,,Amphibole,Petersetal2017
18,Merap1-1Am3 ,42.368,3.671,11.299,12.584,0.382,13.358,11.221,2.712,0.95,,0.0,,Amphibole,Petersetal2017
19,Merap1-1Am4 ,42.062,3.764,11.277,12.101,0.419,13.367,11.165,2.665,0.981,,0.035,,Amphibole,Petersetal2017
20,Merap1-1Am5 ,42.188,3.833,11.473,12.273,0.403,13.315,11.101,2.674,0.928,,0.011,,Amphibole,Petersetal2017
21,Merap1-1Am6 ,41.966,2.766,12.025,12.261,0.382,13.449,11.339,2.642,0.958,,0.032,,Amphibole,Petersetal2017
22,Merap1-1Am7 ,41.916,3.078,12.051,12.471,0.361,13.338,11.205,2.623,1.007,,0.015,,Amphibole,Petersetal2017
23,Merap1-1Am8 ,42.212,2.578,12.091,11.517,0.426,13.626,11.16,2.635,0.955,,0.002,,Amphibole,Petersetal2017
24,Merap1-1Am9 ,40.01,1.978,14.808,12.126,0.176,12.705,12.071,2.348,1.187,,0.0,,Amphibole,Petersetal2017
25,Merap1-1Am10 ,40.13,2.006,14.557,11.904,0.14,12.953,12.187,2.207,1.201,,0.002,,Amphibole,Petersetal2017
26,Merap1-1Am11 ,40.011,2.016,14.737,11.749,0.103,12.875,12.449,2.344,1.221,,0.015,,Amphibole,Petersetal2017
27,Merap1-1Am12 ,39.951,2.045,14.686,11.897,0.103,13.02,12.314,2.246,1.146,,0.008,,Amphibole,Petersetal2017
